date,total_value,benchmark_value,cash,daily_return,cummax,drawdown
2026-06-01,1000.0,999.0,1000.0,0.0,1000.0,0.0
2026-06-25,1000.0,999.0,1000.0,0.0,1000.0,0.0
2026-06-27,1000.0,999.0,1000.0,0.0,1000.0,0.0
